                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4116,                 2.8787,                  1.599,                0.53494,                 0.5971,                0.58483,                0.35553,                  1.241,                  1.814,                 1.4846,               0.000329,               0.000329,               0.000329
                      2,                 1.2645,                 1.7902,                 1.4458,                 0.2463,                 0.6207,                0.34912,                0.18878,                 1.4529,                 3.4526,                  1.704,             0.00064922,             0.00064922,             0.00064922
                      3,                 1.2805,                  1.649,                 1.4643,                0.54428,                0.50333,                0.52242,                0.31065,                  1.299,                 1.7547,                 1.4906,             0.00095624,             0.00095624,             0.00095624
                      4,                 1.3023,                 1.6257,                 1.4778,                0.58938,                0.64437,                0.63557,                0.36337,                 1.2979,                  1.666,                 1.4935,              0.0009406,              0.0009406,              0.0009406
                      5,                 1.2322,                 1.5207,                  1.452,                0.63347,                0.65044,                0.68258,                 0.3789,                 1.3105,                 1.4953,                  1.493,              0.0009406,              0.0009406,              0.0009406
                      6,                 1.2407,                 1.4187,                 1.4159,                0.69167,                0.66707,                0.72867,                0.43096,                 1.2381,                 1.2187,                 1.4212,              0.0009208,              0.0009208,              0.0009208
                      7,                 1.1847,                 1.3562,                  1.388,                0.62183,                0.70924,                0.68546,                 0.4237,                 1.2688,                 1.2647,                 1.4435,               0.000901,               0.000901,               0.000901
                      8,                 1.2072,                  1.364,                 1.4128,                0.61074,                0.67603,                0.69435,                0.40842,                 1.3444,                 1.2213,                 1.4461,              0.0008812,              0.0008812,              0.0008812
                      9,                 1.1654,                 1.2609,                 1.3686,                0.71146,                0.73102,                 0.7773,                0.47972,                 1.2069,                  1.055,                 1.3992,              0.0008614,              0.0008614,              0.0008614
                     10,                 1.1505,                 1.2049,                 1.3686,                0.71457,                0.81864,                0.80904,                0.48704,                 1.2503,                 1.0455,                 1.4309,              0.0008416,              0.0008416,              0.0008416
                     11,                   1.14,                 1.1651,                 1.3665,                 0.7616,                0.74956,                 0.8159,                 0.4942,                 1.1908,                 1.0395,                 1.3738,              0.0008218,              0.0008218,              0.0008218
                     12,                 1.1199,                  1.143,                 1.3493,                0.81377,                0.80923,                0.84089,                0.50511,                 1.3736,                0.93214,                 1.4825,               0.000802,               0.000802,               0.000802
                     13,                 1.0948,                 1.1157,                 1.3347,                0.75387,                0.73879,                0.79724,                0.50596,                 1.1719,                 1.0353,                 1.3527,              0.0007822,              0.0007822,              0.0007822
                     14,                 1.0956,                 1.0818,                 1.3336,                0.78392,                0.72427,                0.83773,                0.52682,                 1.1742,                0.97523,                   1.36,              0.0007624,              0.0007624,              0.0007624
                     15,                 1.0889,                  1.065,                  1.337,                0.70843,                0.72573,                0.77168,                0.47442,                  1.248,                  1.123,                 1.4475,              0.0007426,              0.0007426,              0.0007426
                     16,                 1.0782,                  1.023,                 1.3294,                0.76641,                0.71142,                0.79519,                0.50633,                 1.1471,                0.99363,                 1.3546,              0.0007228,              0.0007228,              0.0007228
                     17,                 1.0866,                 1.0161,                 1.3273,                0.81183,                 0.7944,                0.85303,                0.52861,                 1.2439,                0.86441,                 1.3923,               0.000703,               0.000703,               0.000703
                     18,                 1.0732,                0.95068,                 1.3017,                0.77549,                0.77189,                0.84242,                0.52499,                 1.2144,                0.90852,                 1.3831,              0.0006832,              0.0006832,              0.0006832
                     19,                 1.0221,                0.89534,                 1.2939,                0.76644,                0.76665,                0.83652,                0.52653,                  1.202,                0.95334,                 1.3913,              0.0006634,              0.0006634,              0.0006634
                     20,                 1.0276,                0.94227,                 1.2951,                0.73061,                0.73345,                0.79755,                0.50154,                 1.2171,                 1.0028,                 1.3761,              0.0006436,              0.0006436,              0.0006436
                     21,                 1.0356,                0.91312,                 1.2889,                0.73832,                0.80723,                0.84153,                0.54179,                 1.1723,                0.89068,                 1.3478,              0.0006238,              0.0006238,              0.0006238
                     22,                 1.0157,                0.87376,                 1.2734,                0.74216,                0.80941,                0.84644,                0.55339,                 1.1334,                 0.8465,                 1.3229,               0.000604,               0.000604,               0.000604
                     23,                   1.01,                0.86579,                 1.2647,                0.78844,                0.77874,                0.85807,                 0.5632,                 1.1606,                0.86396,                 1.3333,              0.0005842,              0.0005842,              0.0005842
                     24,                0.95796,                0.81976,                 1.2553,                0.81871,                0.80806,                0.84444,                 0.5534,                 1.1668,                0.83915,                 1.3428,              0.0005644,              0.0005644,              0.0005644
                     25,                 1.0048,                0.80758,                 1.2691,                0.79818,                0.77906,                0.84196,                0.55351,                 1.1257,                0.88134,                 1.3311,              0.0005446,              0.0005446,              0.0005446
                     26,                0.95993,                0.78147,                 1.2498,                0.80481,                0.80758,                0.84723,                0.52502,                 1.2526,                0.83512,                 1.3751,              0.0005248,              0.0005248,              0.0005248
                     27,                 0.9676,                0.79915,                 1.2572,                0.84802,                0.79998,                0.87127,                0.57094,                 1.1284,                0.80287,                 1.3139,               0.000505,               0.000505,               0.000505
                     28,                 0.9545,                0.76899,                 1.2383,                 0.8433,                0.81392,                 0.8885,                0.57872,                 1.1459,                0.78401,                 1.3367,              0.0004852,              0.0004852,              0.0004852
                     29,                0.92974,                0.74967,                 1.2325,                0.76441,                0.82256,                0.84973,                0.55134,                 1.1248,                0.86649,                 1.3348,              0.0004654,              0.0004654,              0.0004654
                     30,                0.95358,                0.75039,                 1.2349,                0.83427,                0.77112,                0.85686,                0.56913,                 1.1243,                0.82654,                 1.3067,              0.0004456,              0.0004456,              0.0004456
                     31,                0.94598,                0.75607,                 1.2174,                0.80749,                0.79669,                0.85439,                0.55779,                 1.1415,                0.85111,                  1.332,              0.0004258,              0.0004258,              0.0004258
                     32,                0.92789,                0.72008,                 1.2206,                0.82519,                 0.7776,                0.86924,                0.56402,                 1.1505,                0.80232,                 1.3435,               0.000406,               0.000406,               0.000406
                     33,                0.91002,                0.71668,                 1.2218,                0.84766,                0.77943,                0.86524,                0.56184,                 1.1679,                0.83679,                 1.3385,              0.0003862,              0.0003862,              0.0003862
